,bib_number,half_1st,half_second,time_total_netto,time_total_brutto,5km,10km,15km,20km,25km,30km,35km,40km,last_name,first_name,grade_time
174,5330,5249,5324,10573,10575,1242,2454,3685,4971,6204,7516,8723,10012,xxx,xxx,<3h
175,5431,5260,5321,10580,10583,1240,2455,3678,4994,6196,7500,8693,9995,xxx,xxx,<3h
176,5221,5318,5264,10581,10609,1268,2486,3705,5031,6294,7596,8759,10030,xxx,xxx,<3h
177,10541,5354,5232,10586,10596,1255,2506,3755,5073,6316,7631,8821,10062,xxx,xxx,<3h
178,7898,5252,5344,10595,10612,1229,2430,3652,4970,6222,7537,8763,10043,xxx,xxx,<3h
179,20184,5144,5452,10596,10602,1229,2410,3597,4869,6084,7431,8670,10016,xxx,xxx,<3h
180,8026,5139,5459,10598,11237,1185,2300,3437,4822,6163,7524,8820,10080,xxx,xxx,<3h
181,5271,5311,5287,10598,10605,1233,2441,3664,5015,6288,7614,8772,10040,xxx,xxx,<3h
182,2651,5409,5191,10600,10674,1312,2557,3820,5139,6357,7647,8837,10048,xxx,xxx,<3h
183,7814,5323,5283,10605,10612,1242,2492,3750,5048,6285,7594,8737,10011,xxx,xxx,<3h
184,5220,4837,5774,10610,10653,1152,2249,3363,4578,5798,7198,8552,9996,xxx,xxx,<3h
185,87,5081,5538,10619,10634,1201,2363,3546,4803,6034,7387,8707,10045,xxx,xxx,<3h
186,5361,5280,5343,10623,10719,1268,2487,3708,5002,6227,7534,8755,10062,xxx,xxx,<3h
187,53,4368,6256,10623,10646,1005,1977,3012,4129,5507,7103,8825,10132,xxx,xxx,<3h
188,5434,4949,5676,10624,10628,1139,2284,3437,4691,5857,7198,8489,10000,xxx,xxx,<3h
189,5244,5087,5542,10629,10634,1203,2362,3521,4814,6032,7399,8693,10068,xxx,xxx,<3h
190,5124,5298,5334,10631,10722,1276,2487,3718,5013,6262,7585,8814,10090,xxx,xxx,<3h
191,310,5268,5365,10633,10639,1238,2458,3690,4991,6213,7526,8745,10070,xxx,xxx,<3h
192,5323,5075,5559,10633,10657,1210,2379,3551,4796,6025,7383,8609,10010,xxx,xxx,<3h
193,7695,5218,5420,10637,10664,1223,2422,3633,4945,6166,7490,8696,10052,xxx,xxx,<3h
194,7710,5028,5617,10644,10648,1136,2271,3449,4748,5989,7374,8666,10034,xxx,xxx,<3h
195,10446,5270,5375,10644,10648,1216,2432,3658,4988,6216,7548,8795,10079,xxx,xxx,<3h
196,7694,5087,5561,10648,10651,1167,2346,3549,4821,6063,7392,8643,10043,xxx,xxx,<3h
197,155,5288,5363,10650,10702,1257,2476,3720,5013,6260,7568,8806,10111,xxx,xxx,<3h
198,5235,4873,5781,10653,10654,1075,2204,3343,4599,5816,7240,8606,10064,xxx,xxx,<3h
199,7692,5297,5357,10653,10666,1256,2482,3724,5022,6254,7549,8806,10099,xxx,xxx,<3h
200,2711,5172,5483,10654,10661,1193,2379,3599,4892,6125,7450,8699,10061,xxx,xxx,<3h
201,5375,5063,5592,10655,10672,1193,2348,3526,4787,6002,7359,8712,10066,xxx,xxx,<3h
202,7815,5246,5414,10659,10661,1223,2429,3638,4962,6208,7527,8781,10104,xxx,xxx,<3h
203,7732,5128,5535,10663,10669,1207,2374,3566,4853,6065,7406,8660,10028,xxx,xxx,<3h
204,10341,5394,5274,10668,10715,1325,2567,3813,5123,6345,7651,8832,10112,xxx,xxx,<3h
205,7721,5153,5517,10669,10671,1193,2362,3550,4873,6127,7480,8742,10100,xxx,xxx,<3h
206,7994,5119,5551,10670,10671,1161,2326,3540,4845,6065,7419,8701,10076,xxx,xxx,<3h
207,5311,5149,5524,10672,10675,1196,2375,3573,4873,6094,7446,8711,10073,xxx,xxx,<3h
208,10254,5328,5348,10676,10679,1258,2486,3713,5043,6278,7607,8817,10115,xxx,xxx,<3h
209,7890,5283,5396,10678,10731,1240,2453,3683,5009,6229,7584,8792,10116,xxx,xxx,<3h
210,7704,5408,5271,10679,10754,1312,2557,3820,5139,6357,7647,8844,10105,xxx,xxx,<3h
211,13056,5421,5265,10685,10750,1290,2507,3767,5131,6391,7692,8908,10158,xxx,xxx,<3h
212,2566,5297,5390,10686,10725,1258,2477,3724,5029,6242,7551,8752,10093,xxx,xxx,<3h
213,2758,5246,5440,10686,10691,1229,2446,3682,4966,6199,7513,8728,10086,xxx,xxx,<3h
214,89,5023,5665,10687,10715,1199,2332,3495,4751,5959,7286,8557,10060,xxx,xxx,<3h
215,5206,5539,5152,10690,10695,1352,2646,3927,5255,6490,7761,8922,10150,xxx,xxx,<3h
216,7737,5350,5343,10692,10697,1279,2525,3777,5072,6313,7615,8849,10133,xxx,xxx,<3h
217,5242,5147,5550,10697,10712,1189,2362,3561,4864,6110,7434,8725,10087,xxx,xxx,<3h
218,10312,5301,5403,10704,10725,1251,2450,3687,5024,6260,7603,8809,10116,xxx,xxx,<3h
219,10411,5260,5445,10705,10714,1218,2410,3628,4967,6232,7580,8824,10136,xxx,xxx,<3h
220,5327,5197,5508,10705,10774,1317,2501,3673,4928,6106,7439,8698,10096,xxx,xxx,<3h
221,7784,5054,5651,10705,10709,1210,2368,3544,4778,5975,7270,8528,9971,xxx,xxx,<3h
222,18224,4853,5857,10709,10710,1077,2190,3323,4586,5778,7144,8572,10097,xxx,xxx,<3h
223,5291,5223,5491,10713,10715,1228,2453,3668,4955,6181,7530,8774,10153,xxx,xxx,<3h
224,5284,4941,5775,10715,10732,1176,2312,3460,4672,5838,7253,8572,10070,xxx,xxx,<3h
225,7908,5202,5514,10716,10733,1242,2447,3646,4927,6131,7453,8695,10101,xxx,xxx,<3h
226,10948,5070,5647,10717,11947,1127,2319,3538,4797,6027,7370,8677,10040,xxx,xxx,<3h
227,7887,5417,5302,10719,10728,1276,2546,3810,5140,6383,7713,8923,10176,xxx,xxx,<3h
228,2644,5310,5411,10720,10721,1245,2479,3723,5026,6272,7633,8849,10146,xxx,xxx,<3h
229,2756,5132,5590,10721,10734,1200,2377,3567,4860,6086,7457,8753,10104,xxx,xxx,<3h
230,10333,5268,5454,10721,10726,1243,2446,3660,4989,6217,7554,8761,10140,xxx,xxx,<3h
231,7995,5266,5458,10723,10728,1252,2445,3660,4985,6215,7554,8767,10130,xxx,xxx,<3h
232,5176,4551,6173,10724,10730,1008,2038,3095,4301,5524,6820,8006,10048,xxx,xxx,<3h
233,137,5422,5304,10725,10729,1266,2531,3788,5138,6394,7732,8943,10191,xxx,xxx,<3h
234,15590,5302,5423,10725,10746,1252,2471,3717,5019,6266,7569,8827,10147,xxx,xxx,<3h
235,321,5314,5412,10725,10787,1228,2420,3651,5036,6243,7564,8852,10158,xxx,xxx,<3h
236,20144,5404,5325,10728,10729,1277,2548,3820,5126,6358,7672,8880,10160,xxx,xxx,<3h
237,5138,4848,5882,10729,10730,1052,2152,3299,4567,5811,7198,8515,10053,xxx,xxx,<3h
238,5270,5302,5429,10731,10733,1249,2469,3702,5020,6269,7597,8830,10165,xxx,xxx,<3h
239,5238,4917,5815,10731,10734,1093,2169,3318,4601,5901,7304,8749,10146,xxx,xxx,<3h
240,5343,5175,5556,10731,10733,1165,2339,3558,4883,6176,7546,8855,10167,xxx,xxx,<3h
241,7991,5167,5566,10732,10762,1222,2397,3603,4889,6114,7456,8734,10117,xxx,xxx,<3h
242,7968,5370,5365,10734,10738,1262,2523,3792,5094,6350,7667,8877,10159,xxx,xxx,<3h
243,7802,5291,5444,10735,10787,1249,2463,3682,5012,6245,7611,8833,10164,xxx,xxx,<3h
244,5164,5240,5498,10737,10794,1255,2460,3678,4975,6210,7548,8828,10159,xxx,xxx,<3h
245,132,5261,5477,10738,10755,1251,2445,3665,4968,6221,7568,8863,10169,xxx,xxx,<3h
246,7921,5272,5466,10738,10740,1207,2447,3685,4989,6230,7559,8853,10156,xxx,xxx,<3h
247,20167,5219,5521,10739,10740,1179,2374,3604,4937,6248,7615,8855,10164,xxx,xxx,<3h
248,7719,5268,5472,10740,10757,1194,2385,3626,5001,6215,7552,8837,10165,xxx,xxx,<3h
249,5385,5365,5377,10742,10750,1269,2525,3792,5091,6347,7686,8911,10183,xxx,xxx,<3h
250,105,4998,5745,10742,10744,1131,2268,3439,4710,5954,7358,8707,10093,xxx,xxx,<3h
251,5377,5100,5645,10744,10748,1146,2304,3508,4820,6079,7458,8740,10149,xxx,xxx,<3h
252,7756,5208,5537,10744,10787,1238,2421,3649,4934,6178,7506,8811,10175,xxx,xxx,<3h
253,156,5545,5203,10747,10765,1311,2632,3929,5259,6524,7846,9056,10253,xxx,xxx,<3h
254,5368,5213,5536,10748,10751,1212,2420,3638,4941,6148,7494,8799,10183,xxx,xxx,<3h
255,5358,4936,5818,10754,10758,1129,2256,3402,4661,5871,7236,8540,10038,xxx,xxx,<3h
256,2859,5386,5372,10757,10799,1311,2538,3778,5104,6345,7669,8887,10200,xxx,xxx,<3h
257,5263,5076,5684,10759,10775,1188,2360,3556,4798,6007,7357,8671,10110,xxx,xxx,<3h
258,7862,5139,5626,10764,10775,1207,2388,3576,4864,6076,7399,8688,10112,xxx,xxx,<3h
